Eloquence Software Synthesizer Voice profile,,,,
Unique Identifier,Aliases,Range,Default,Definition
,ptb-PCCursor.SpellRateDelta,Integer,-20,
,ptb-PCCursor.UpperCasePitchDelta,Integer,20,
,ptb-PCCursor.Parent,text,Global,
,ptb-PCCursor.VoiceName,text,Reed,
,ptb-PCCursor.SynthLangString,text,Brazilian Portuguese,
,deu-Global.DisplayName,text,Global,
,deu-Global.Rate,"range(40,150)",57,
,deu-Global.Pitch,"range(1,100)",65,
,deu-Global.Volume,"range(0,100)",100,
,deu-Global.Punctuation,"range(0,3)",2,
,deu-Global.SpellRateDelta,Integer,-20,
,deu-Global.UpperCasePitchDelta,Integer,20,
,deu-Global.Parent,text,None,
,deu-Global.VoiceName,text,Reed,
,deu-Global.SynthLangString,text,German,
,deu-JAWSCursor.DisplayName,text,JAWS Cursor,
,deu-JAWSCursor.Rate,"range(40,150)",57,
,deu-JAWSCursor.Pitch,"range(1,100)",58,
,deu-JAWSCursor.Volume,"range(0,100)",100,
,deu-JAWSCursor.Punctuation,"range(0,3)",2,
,deu-JAWSCursor.SpellRateDelta,Integer,-20,
,deu-JAWSCursor.UpperCasePitchDelta,Integer,20,
,deu-JAWSCursor.Parent,text,Global,
,deu-JAWSCursor.VoiceName,text,Glen,
,deu-JAWSCursor.SynthLangString,text,German,
,deu-Keyboard.DisplayName,text,Keyboard,
,deu-Keyboard.Rate,"range(40,150)",57,
,deu-Keyboard.Pitch,"range(1,100)",65,
,deu-Keyboard.Volume,"range(0,100)",100,
,deu-Keyboard.Punctuation,"range(0,3)",2,
,deu-Keyboard.SpellRateDelta,Integer,-20,
,deu-Keyboard.UpperCasePitchDelta,Integer,20,
,deu-Keyboard.Parent,text,Global,
,deu-Keyboard.VoiceName,text,Reed,
,deu-Keyboard.SynthLangString,text,German,
,deu-MenuAndDialog.DisplayName,text,Menu and Dialog,
,deu-MenuAndDialog.Rate,"range(40,150)",57,
,deu-MenuAndDialog.Pitch,"range(1,100)",65,
,deu-MenuAndDialog.Volume,"range(0,100)",100,
,deu-MenuAndDialog.Punctuation,"range(0,3)",2,
,deu-MenuAndDialog.SpellRateDelta,Integer,-20,
,deu-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,deu-MenuAndDialog.Parent,text,Global,
,deu-MenuAndDialog.VoiceName,text,Reed,
,deu-MenuAndDialog.SynthLangString,text,German,
,deu-Message.DisplayName,text,Message,
,deu-Message.Rate,"range(40,150)",57,
,deu-Message.Pitch,"range(1,100)",60,
,deu-Message.Volume,"range(0,100)",100,
,deu-Message.Punctuation,"range(0,3)",0,
,deu-Message.SpellRateDelta,Integer,-20,
,deu-Message.UpperCasePitchDelta,Integer,20,
,deu-Message.Parent,text,Global,
,deu-Message.VoiceName,text,Reed,
,deu-Message.SynthLangString,text,German,
,deu-PCCursor.DisplayName,text,PC Cursor,
,deu-PCCursor.Rate,"range(40,150)",57,
,deu-PCCursor.Pitch,"range(1,100)",65,
,deu-PCCursor.Volume,"range(0,100)",100,
,deu-PCCursor.Punctuation,"range(0,3)",2,
,deu-PCCursor.SpellRateDelta,Integer,-20,
,deu-PCCursor.UpperCasePitchDelta,Integer,20,
,deu-PCCursor.Parent,text,Global,
,deu-PCCursor.VoiceName,text,Reed,
,deu-PCCursor.SynthLangString,text,German,
,esm-Global.DisplayName,text,Global,
,esm-Global.Rate,"range(40,150)",57,
,esm-Global.Pitch,"range(1,100)",65,
,esm-Global.Volume,"range(0,100)",100,
,esm-Global.Punctuation,"range(0,3)",2,
,esm-Global.SpellRateDelta,Integer,-20,
,esm-Global.UpperCasePitchDelta,Integer,20,
,esm-Global.Parent,text,None,
,esm-Global.VoiceName,text,Reed,
,esm-Global.SynthLangString,text,Latin American Spanish,
,esm-JAWSCursor.DisplayName,text,JAWS Cursor,
,esm-JAWSCursor.Rate,"range(40,150)",57,
,esm-JAWSCursor.Pitch,"range(1,100)",58,
,esm-JAWSCursor.Volume,"range(0,100)",100,
,esm-JAWSCursor.Punctuation,"range(0,3)",2,
,esm-JAWSCursor.SpellRateDelta,Integer,-20,
,esm-JAWSCursor.UpperCasePitchDelta,Integer,20,
,esm-JAWSCursor.Parent,text,Global,
,esm-JAWSCursor.VoiceName,text,Glen,
,esm-JAWSCursor.SynthLangString,text,Latin American Spanish,
,esm-Keyboard.DisplayName,text,Keyboard,
,esm-Keyboard.Rate,"range(40,150)",57,
,esm-Keyboard.Pitch,"range(1,100)",65,
,esm-Keyboard.Volume,"range(0,100)",100,
,esm-Keyboard.Punctuation,"range(0,3)",2,
,esm-Keyboard.SpellRateDelta,Integer,-20,
,esm-Keyboard.UpperCasePitchDelta,Integer,20,
,esm-Keyboard.Parent,text,Global,
,esm-Keyboard.VoiceName,text,Reed,
,esm-Keyboard.SynthLangString,text,Latin American Spanish,
,esm-MenuAndDialog.DisplayName,text,Menu and Dialog,
,esm-MenuAndDialog.Rate,"range(40,150)",57,
,esm-MenuAndDialog.Pitch,"range(1,100)",65,
,esm-MenuAndDialog.Volume,"range(0,100)",100,
,esm-MenuAndDialog.Punctuation,"range(0,3)",2,
,esm-MenuAndDialog.SpellRateDelta,Integer,-20,
,esm-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,esm-MenuAndDialog.Parent,text,Global,
,esm-MenuAndDialog.VoiceName,text,Reed,
,esm-MenuAndDialog.SynthLangString,text,Latin American Spanish,
,esm-Message.DisplayName,text,Message,
,esm-Message.Rate,"range(40,150)",57,
,esm-Message.Pitch,"range(1,100)",60,
,esm-Message.Volume,"range(0,100)",100,
,esm-Message.Punctuation,"range(0,3)",0,
,esm-Message.SpellRateDelta,Integer,-20,
,esm-Message.UpperCasePitchDelta,Integer,20,
,esm-Message.Parent,text,Global,
,esm-Message.VoiceName,text,Reed,
,esm-Message.SynthLangString,text,Latin American Spanish,
,esm-PCCursor.DisplayName,text,PC Cursor,
,esm-PCCursor.Rate,"range(40,150)",57,
,esm-PCCursor.Pitch,"range(1,100)",65,
,esm-PCCursor.Volume,"range(0,100)",100,
,esm-PCCursor.Punctuation,"range(0,3)",2,
,esm-PCCursor.SpellRateDelta,Integer,-20,
,esm-PCCursor.UpperCasePitchDelta,Integer,20,
,esm-PCCursor.Parent,text,Global,
,esm-PCCursor.VoiceName,text,Reed,
,esm-PCCursor.SynthLangString,text,Latin American Spanish,
,esn-Global.DisplayName,text,Global,
,esn-Global.Rate,"range(40,150)",57,
,esn-Global.Pitch,"range(1,100)",65,
,esn-Global.Volume,"range(0,100)",100,
,esn-Global.Punctuation,"range(0,3)",2,
,esn-Global.SpellRateDelta,Integer,-20,
,esn-Global.UpperCasePitchDelta,Integer,20,
,esn-Global.Parent,text,None,
,esn-Global.VoiceName,text,Reed,
,esn-Global.SynthLangString,text,Castilian Spanish,
,esn-JAWSCursor.DisplayName,text,JAWS Cursor,
,esn-JAWSCursor.Rate,"range(40,150)",57,
